,Minimum,Average,Maximum,Std. Dev.,Std. Err.,,,,,,,,,,,,,,,,,,,,,,
Channel 1,0,113683.93,171920,21670.8,1247.01,,,,,,,,,,,,,,,,,,,,,,
Channel 2,0,9173.55,15336,2218.13,127.64,,,,,,,,,,,,,,,,,,,,,,
Channel 3,0,1742.93,3256,805.49,46.35,,,,,,,,,,,,,,,,,,,,,,
Channel 4,0,237.65,531,143.54,8.26,,,,,,,,,,,,,,,,,,,,,,
Channel 5,0,73.53,164,48.72,2.8,,,,,,,,,,,,,,,,,,,,,,
Channel 6,0,5.73,17,4.72,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record #,Location,Date & Time,Instrument Status,Sample Time,Laser Status,Ch1 Size (um),Ch1 Differential,Ch1 Alarm,Ch2 Size (um),Ch2 Differential,Ch2 Alarm,Ch3 Size (um),Ch3 Differential,Ch3 Alarm,Ch4 Size (um),Ch4 Differential,Ch4 Alarm,Ch5 Size (um),Ch5 Differential,Ch5 Alarm,Ch6 Size (um),Ch6 Differential,Ch6 Alarm,Flow Status,Volume(ft3),Temperature(¡F),Humidity(%)
102,supply,10/3/14 11:53,(ok),0:01:00,OK,0.3,167643,,0.5,13899,,1,2379,,2.5,328,,5,89,,10,10,,OK,0.1,N/A,0
103,supply,10/3/14 11:54,(ok),0:01:00,OK,0.3,162431,,0.5,13222,,1,2233,,2.5,283,,5,117,,10,4,,OK,0.1,N/A,0
104,supply,10/3/14 11:55,(ok),0:01:00,OK,0.3,157862,,0.5,12592,,1,2091,,2.5,246,,5,92,,10,2,,OK,0.1,N/A,0
105,supply,10/3/14 11:56,(ok),0:01:00,OK,0.3,153135,,0.5,11992,,1,2073,,2.5,243,,5,65,,10,6,,OK,0.1,N/A,0
106,supply,10/3/14 11:57,(ok),0:01:00,OK,0.3,149315,,0.5,11450,,1,1815,,2.5,206,,5,69,,10,3,,OK,0.1,N/A,0
107,supply,10/3/14 11:58,(ok),0:01:00,OK,0.3,145523,,0.5,11013,,1,1833,,2.5,189,,5,42,,10,3,,OK,0.1,N/A,0
108,supply,10/3/14 11:59,(ok),0:01:00,OK,0.3,143578,,0.5,10820,,1,1654,,2.5,183,,5,48,,10,3,,OK,0.1,N/A,0
109,supply,10/3/14 12:00,(ok),0:01:00,OK,0.3,140392,,0.5,10430,,1,1554,,2.5,161,,5,46,,10,0,,OK,0.1,N/A,0
110,supply,10/3/14 12:01,(ok),0:01:00,OK,0.3,138779,,0.5,9912,,1,1506,,2.5,137,,5,24,,10,1,,OK,0.1,N/A,0
111,supply,10/3/14 12:02,(ok),0:01:00,OK,0.3,136244,,0.5,9626,,1,1412,,2.5,142,,5,29,,10,2,,OK,0.1,N/A,0
112,supply,10/3/14 12:03,(ok),0:01:00,OK,0.3,132300,,0.5,9332,,1,1320,,2.5,129,,5,36,,10,3,,OK,0.1,N/A,0
113,supply,10/3/14 12:04,(ok),0:01:00,OK,0.3,128944,,0.5,9116,,1,1243,,2.5,127,,5,34,,10,2,,OK,0.1,N/A,0
114,supply,10/3/14 12:05,(ok),0:01:00,OK,0.3,123031,,0.5,8802,,1,1168,,2.5,104,,5,37,,10,2,,OK,0.1,N/A,0
